ID_CODE,NAME,SURNAME,DISPLAY_NAME,SORT_NAME,BIRTH_FLAG,BIRTH_PLACE,BIRTH_YEAR,DEATH_FLAG,DEATH_PLACE,DEATH_YEAR,STUDENT_OF
a_arteaga,Ángel,Arteaga de la Guía,,"Arteaga, Ángel",es,Campo de Criptana,1928,es,Madrid,1984,"j_gomez_garcia,v_echevarria,f_cales,c_orff,h_genzmer"
a_gonzalez_acilu,Agustín,González García de Acilu,,"González Acilu, Agustín",es,Altsasu,1929,es,Madrid,2023,j_gomez_garcia
m_perez_guiterrez,Mariano,Pérez Gutiérrez,,"Pérez Gutiérrez, Mariano",es,Pisón de Castejón,1932,es,Madrid,1994,"j_gomez_garcia,f_cales,j_guridi"
s_moreno_manzano,Salvador,Moreno Manzano,,"Moreno Manzano, Salvador",mx,Orizaba,1916,mx,Ciudad de México,1999,"c_taltabull,c_chavez"
x_benguerel,Xavier,Benguerel i Godó,,"Benguerel, Xavier",es,Barcelona,1931,es,Barcelona,2017,c_taltabull
j_guinjoan,Joan,Guinjoan Gispert,,"Guinjoan, Joan",es,Riudoms,1931,es,Barcelona,2019,"c_taltabull,p_wissmer"
jm_mestres_quadreny,Josep Maria,Mestres Quadreny,,"Mestres Quadreny, Josep Maria",es,Manresa,1929,es,Barcelona,2021,c_taltabull
j_soler,Josep,Soler i Sardà,,"Soler, Josep",es,Vilafranca del Penedès,1935,es,Barcelona,2022,"c_taltabull,r_leibowitz"
j_casanovas,Josep,Casanovas i Puig,,"Casanovas, Josep",es,Barcelona,1924,es,Barcelona,1996,c_taltabull
j_llobet,Josep,Llobet i Terricabres,,"Llobet, Josep",es,Figueres,1922,es,Barcelona,2013,"c_taltabull,j_barbera,f_alfonso"
t_borras,Teresa,Borràs i Fornell,,"Borràs, Teresa",es,Manresa,1923,es,Mataró,2010,"c_taltabull,e_cervera"
m_cabero,Manuel,Cabero i Vernedas,,"Cabero, Manuel",es,Barcelona,1926,es,Barcelona,2022,c_taltabull
j_cercos,Josep,Cercós i Fransí,,"Cercós, Josep",es,Barcelona,1925,es,Barcelona,1989,"c_taltabull,r_lamote,e_cervera,h_scherchen"
g_estrada,Francesc Xavier,Estrada i Gamissans,Gregori Estrada i Gamissans,"Estrada, Gregori",es,Manresa,1918,es,Montserrat,2015,"c_taltabull,a_ferrer,i_civil,a_rodamilans,j_muset,a_marchal,j_barbera"
mt_gimenez,Maria Teresa,Giménez i Morell,,"Giménez, Maria Teresa",es,Barcelona,1928,es,Barcelona,2021,c_taltabull
e_gispert,Enric,Gispert i Fabrés,,"Gispert, Enric",es,Barcelona,1925,es,Barcelona,1990,c_taltabull
m_gols,Marçal,Gols i Cavagliani,,"Gols, Marçal",es,Barcelona,1928,es,Barcelona,2020,"c_taltabull,s_celibidache"
p_jaquetti,Palmira,Jaquetti i Isant,,"Jaquetti, Palmira",es,Barcelona,1895,es,Els Monjos,1963,"c_taltabull,r_lamote"
i_segarra,Ireneu,Segarra i Malla,,"Segarra, Ireneu",es,Ivars d'Urgell,1917,es,Montserrat,2005,"c_taltabull,a_ferrer,a_rodamilans,j_barbera,f_marshall,n_boulanger"
jb_pellicer,Joan Baptista,Pellicer i Cardona,,"Pellicer, Joan Baptista",es,Maó,1862,es,Barcelona,1930,g_mathias
f_bonastre,Francesc,Bonastre i Bertran,,"Bonastre, Francesc",es,Montblanc,1944,es,Barcelona,2017,"h_angles,m_querol,m_riquer"
l_feininger,Laurence,Feininger,,"Feininger, Laurence",de,Berlin,1909,it,Freienfeld,1976,h_angles
